target_id	length	eff_length	est_counts	tpm
ENST00000506609	1146	960.253	2.60222	1.72201
ENST00000196489	2508	2322.25	25	6.84082
ENST00000359489	1602	1416.25	0	0
ENST00000428052	1647	1461.25	0	0
ENST00000536878	4252	4066.25	24.2631	3.79166
ENST00000307468	2676	2490.25	20.0696	5.12121
ENST00000356724	1586	1400.25	16.6673	7.56374
ENST00000332854	2964	2778.25	21	4.80314
ENST00000418193	1676	1490.25	6.76879	2.88622
ENST00000396161	3535	3349.25	34.2312	6.4946
ENST00000541849	1769	1583.25	0	0
ENST00000407202	1750	1564.25	0	0
ENST00000541072	591	405.495	0	0
ENST00000542008	530	344.644	0	0
ENST00000347302	2472	2286.25	4.31014	1.19797
ENST00000540556	2759	2573.25	0	0
ENST00000254182	1959	1773.25	0	0
ENST00000391703	2239	2053.25	0	0
ENST00000299871	2577	2391.25	0	0
ENST00000535785	2641	2455.25	1.82101	0.471295
ENST00000540780	462	277.536	0.340025	0.778519
ENST00000240731	2440	2254.25	0	0
ENST00000420680	1707	1521.25	5.51456	2.3035
ENST00000544273	2639	2453.25	4.01426	1.03978
ENST00000541801	2395	2209.25	0	0
ENST00000318203	2245	2059.25	0	0
ENST00000356715	3699	3513.25	14.5164	2.6256
ENST00000282296	3699	3513.25	14.5164	2.6256
ENST00000359821	1525	1339.25	0	0
ENST00000270632	1467	1281.25	0	0
ENST00000439922	847	661.324	0	0
ENST00000357701	3598	3412.25	0	0
ENST00000391816	1271	1085.25	0	0
ENST00000270620	1223	1037.25	3.02582	1.85369
ENST00000376920	825	639.324	90.0468	89.5005
ENST00000334976	1946	1760.25	384.856	138.932
ENST00000376918	2033	1847.25	8.07119	2.77644
ENST00000293431	818	632.324	33	33.1629
ENST00000391815	769	583.324	0	0
ENST00000376916	847	661.324	0	0
ENST00000389208	1043	857.253	0	0
ENST00000389201	2958	2772.25	0	0
ENST00000535879	1400	1214.25	0	0
ENST00000544769	2838	2652.25	4.23006	1.01347
ENST00000338916	2913	2727.25	7.76994	1.81038
ENST00000425202	760	574.324	0	0
ENST00000458538	493	308.041	0	0
ENST00000490451	477	292.221	2	4.34907
ENST00000293441	6643	6457.25	0	0
ENST00000391813	4785	4599.25	0	0
ENST00000391814	6622	6436.25	0	0
ENST00000483981	428	244.133	0	0
ENST00000468654	668	482.324	0	0
ENST00000461154	558	372.573	0	0
ENST00000483128	780	594.324	0	0
ENST00000359082	6616	6430.25	0	0
ENST00000250340	1405	1219.25	7	3.64823
ENST00000445858	1128	942.253	0	0
ENST00000270590	1071	885.253	0	0
ENST00000270593	1347	1161.25	0	0
ENST00000270594	1068	882.253	1	0.720252
ENST00000391812	1666	1480.25	0	0
ENST00000345523	1503	1317.25	141	68.0186
ENST00000326989	933	747.253	0	0
ENST00000301420	874	688.324	0	0
ENST00000448701	1854	1668.25	0	0
ENST00000326856	1309	1123.25	0	0
ENST00000416184	1054	868.253	0	0
ENST00000301421	1172	986.253	0	0
ENST00000544946	1261	1075.25	0	0
ENST00000326003	1464	1278.25	0	0
ENST00000422986	1335	1149.25	0	0
ENST00000326052	834	648.324	0	0
ENST00000360617	1906	1720.25	0	0
ENST00000435152	555	369.573	0	0
ENST00000325321	2834	2648.25	0	0
ENST00000358049	2871	2685.25	0	0
ENST00000391810	892	706.253	0	0
ENST00000324041	1347	1161.25	1.32631	0.725762
ENST00000431178	481	296.192	0	0
ENST00000336334	1561	1375.25	0	0
ENST00000391809	1426	1240.25	0	0
ENST00000376853	376	194.323	0	0
ENST00000310157	1510	1324.25	0	0
ENST00000376851	1526	1340.25	0	0
ENST00000391808	1478	1292.25	4.93641	2.4274
ENST00000456750	429	245.133	2.06359	5.34933
ENST00000424910	134	21.0415	0	0
ENST00000304045	1927	1741.25	0.5	0.182468
ENST00000391807	1927	1741.25	0.5	0.182468
ENST00000336317	1339	1153.25	0	0
ENST00000391806	1148	962.253	0	0
ENST00000291726	1013	827.253	0	0
ENST00000347619	590	404.495	0	0
ENST00000320838	456	271.591	0	0
ENST00000376832	1602	1416.25	0	0
ENST00000250366	1438	1252.25	0	0
ENST00000544410	683	497.324	0	0
ENST00000391805	3006	2820.25	1.36268e-06	3.07032e-07
ENST00000309958	3105	2919.25	0	0
ENST00000358789	2967	2781.25	1.00124	0.228758
ENST00000319756	1273	1087.25	0	0
ENST00000391804	1266	1080.25	0	0
ENST00000319720	1191	1005.25	0	0
ENST00000453757	1179	993.253	0	0
ENST00000525263	1077	891.253	0	0
ENST00000527305	663	477.324	0	0
ENST00000526824	1170	984.253	0	0
ENST00000531374	962	776.253	0	0
ENST00000529888	735	549.324	0	0
ENST00000530943	887	701.324	0	0
ENST00000250351	882	696.324	0	0
ENST00000250352	1170	984.253	0	0
ENST00000319590	1074	888.253	0	0
ENST00000156476	1258	1072.25	0	0
ENST00000335422	378	196.204	0	0
ENST00000376799	1239	1053.25	0	0
ENST00000441527	1614	1428.25	0	0
ENST00000476305	1282	1096.25	0	0
ENST00000156499	1060	874.253	0	0
ENST00000391802	1133	947.253	1.43186	0.960532
ENST00000421832	2107	1921.25	11	3.63819
ENST00000440804	1572	1386.25	0	0
ENST00000250360	1689	1503.25	0	0
ENST00000317643	1754	1568.25	0	0
ENST00000305628	1475	1289.25	3	1.47863
ENST00000536156	713	527.324	0	0
ENST00000305812	1322	1136.25	4	2.23698
ENST00000341811	1373	1187.25	0	0
ENST00000262262	1466	1280.25	0	0
ENST00000421133	1085	899.253	0	0
ENST00000391796	1108	922.253	0	0
ENST00000436584	1494	1308.25	0	0
ENST00000316401	1706	1520.25	0	0
ENST00000270642	2606	2420.25	0	0
ENST00000542561	144	24.7509	0	0
ENST00000335624	3679	3493.25	9	1.63716
ENST00000309244	915	729.253	135	117.634
ENST00000354232	1300	1114.25	0	0
ENST00000291715	974	788.253	0	0
ENST00000221978	826	640.324	0	0
ENST00000221973	983	797.253	0	0
ENST00000574814	1318	1132.25	0	0
ENST00000570516	788	602.324	0	0
ENST00000353836	3109	2923.25	0	0
ENST00000357375	3059	2873.25	0	0
ENST00000441969	1960	1774.25	0	0
ENST00000525998	1841	1655.25	0	0
ENST00000436984	1776	1590.25	0	0
ENST00000439889	2126	1940.25	0	0
ENST00000339313	2247	2061.25	0	0
ENST00000529627	596	410.454	0	0
ENST00000530476	561	375.573	0	0
ENST00000524527	630	444.413	0	0
ENST00000432469	2859	2673.25	0	0
ENST00000442846	2664	2478.25	3.34805	0.858468
ENST00000356298	2997	2811.25	0	0
ENST00000541705	3779	3593.25	7.03587	1.24425
ENST00000512439	5687	5501.25	1.02748	0.118684
ENST00000426889	2746	2560.25	0	0
ENST00000396157	429	245.133	0	0
ENST00000317398	2433	2247.25	8	2.26212
ENST00000335820	1932	1746.25	0	0
ENST00000317178	5292	5106.25	24.1725	3.00813
ENST00000473585	506	320.946	0	0
ENST00000431353	549	363.609	1.27871	2.23467
ENST00000451849	546	360.609	2.87664	5.06904
ENST00000489376	1971	1785.25	2.82689	1.0062
ENST00000308137	346	166.476	0	0
ENST00000430084	1697	1511.25	4.25437	1.78886
ENST00000449441	1802	1616.25	0	0
ENST00000396154	2215	2029.25	16.7456	5.24376
ENST00000396150	1958	1772.25	0	0
ENST00000391702	2265	2079.25	0	0
ENST00000430817	1528	1342.25	0	0
ENST00000321424	2948	2762.25	0	0
ENST00000340550	2669	2483.25	1.00926	0.258262
ENST00000396477	969	783.253	0	0
ENST00000451626	1197	1011.25	1	0.628374
ENST00000451086	1256	1070.25	0	0
ENST00000291707	2121	1935.25	0	0
ENST00000346477	1940	1754.25	0	0
ENST00000425629	1870	1684.25	0	0
ENST00000359982	1811	1625.25	0	0
ENST00000436458	1713	1527.25	0	0
ENST00000343300	1746	1560.25	0	0
ENST00000474054	545	359.609	0	0
ENST00000496422	1393	1207.25	0	0
ENST00000489837	1372	1186.25	0	0
ENST00000426829	675	489.324	0	0
ENST00000391797	2074	1888.25	0	0
ENST00000391701	2352	2166.25	24.029	7.04864
ENST00000423137	1974	1788.25	17.5493	6.23603
ENST00000484707	545	359.609	0	0
ENST00000339656	6843	6657.25	62.7414	5.98876
ENST00000419854	5731	5545.25	7.62695	0.873992
ENST00000316462	865	679.324	0	0
ENST00000442832	1538	1352.25	12.6511	5.94496
ENST00000540851	2610	2424.25	0	0
ENST00000376209	2791	2605.25	0	0
ENST00000435989	6283	6097.25	30.3198	3.15988
ENST00000376205	2006	1820.25	0	0
ENST00000312026	4703	4517.25	26.2286	3.6896
ENST00000536263	2446	2260.25	0	0
ENST00000545403	2499	2313.25	0	0
ENST00000396147	3694	3508.25	0	0
ENST00000425570	3551	3365.25	17.1861	3.24516
ENST00000282308	2205	2019.25	21	6.60855
ENST00000314391	915	729.253	2	1.74273
ENST00000341164	4248	4062.25	26.2037	4.09896
ENST00000550599	2417	2231.25	0	0
ENST00000551380	2009	1823.25	4.41711	1.53946
ENST00000552579	572	386.535	2.07869e-08	3.41727e-08
ENST00000547828	2680	2494.25	5.18996	1.32221
ENST00000547121	1196	1010.25	0	0
ENST00000546715	636	450.324	0	0
ENST00000552184	651	465.324	0	0
ENST00000550560	565	379.573	0.942071	1.57713
ENST00000536132	2417	2231.25	0	0
ENST00000550135	6438	6252.25	4.9239	0.500438
ENST00000546949	2310	2124.25	1.78834	0.53496
ENST00000313957	1897	1711.25	3.22219	1.19651
ENST00000546956	1096	910.253	2.00768	1.40156
ENST00000553254	876	690.324	0	0
ENST00000547364	852	666.324	0.475243	0.45322
ENST00000282326	2054	1868.25	5.62699	1.9139
ENST00000391700	952	766.253	1.37301	1.13862
ENST00000504540	2119	1933.25	0	0
ENST00000313434	3025	2839.25	5.99631	1.34202
ENST00000391699	3324	3138.25	0	0
ENST00000511556	2253	2067.25	0	0
ENST00000506786	3349	3163.25	0	0
ENST00000515535	2836	2650.25	3.43182	0.82284
ENST00000401053	3329	3143.25	0	0
ENST00000359978	2453	2267.25	0	0
ENST00000439855	2078	1892.25	1.00369	0.337053
ENST00000433686	2571	2385.25	64.2752	17.1233
ENST00000240727	2926	2740.25	100.347	23.2698
ENST00000421612	2216	2030.25	0	0
ENST00000358067	3381	3195.25	46.7708	9.30137
ENST00000500161	3091	2905.25	5.81526	1.27193
ENST00000326804	2836	2650.25	114.459	27.4436
ENST00000345813	2740	2554.25	1.17274e-06	2.91754e-07
ENST00000424679	2535	2349.25	6.54102	1.76927
ENST00000269829	3512	3326.25	81.7204	15.6118
ENST00000415203	2665	2479.25	0	0
ENST00000333581	872	686.324	3.27961	3.03648
ENST00000441758	804	618.324	0	0
ENST00000196548	2210	2024.25	21.5346	6.76005
ENST00000438500	1289	1103.25	4.23446	2.43894
ENST00000546178	1364	1178.25	2.23092	1.20316
ENST00000329665	4643	4457.25	20.8821	2.97705
ENST00000263100	1766	1580.25	12	4.82539
ENST00000311044	3466	3280.25	9.49308	1.83898
ENST00000425453	1861	1675.25	0	0
ENST00000391697	675	489.324	1.58389	2.05687
ENST00000427624	2030	1844.25	10	3.44554
ENST00000196551	740	554.324	790.998	906.755
ENST00000444227	2860	2674.25	27.5454	6.54523
ENST00000306910	2257	2071.25	13	3.9883
ENST00000322834	1042	856.253	0	0
ENST00000354635	921	735.253	0	0
ENST00000254166	3030	2844.25	5	1.11707
ENST00000391695	1188	1002.25	0	0
ENST00000336614	2995	2809.25	7.19697	1.62793
ENST00000545523	2368	2182.25	0	0
ENST00000391696	3770	3584.25	4.62484	0.819929
ENST00000196482	3000	2814.25	20.8586	4.70976
ENST00000536459	3411	3225.25	6.47541	1.2758
ENST00000378044	959	773.253	3.1489	2.58771
ENST00000539101	1602	1416.25	0	0
ENST00000535298	2330	2144.25	1.69531	0.502403
ENST00000335841	1968	1782.25	7.68964	2.74167
ENST00000540481	1869	1683.25	9.63848e-08	3.63862e-08
ENST00000539679	1086	900.253	4.48632	3.16668
ENST00000391694	2148	1962.25	6.82403	2.20986
ENST00000263093	2361	2175.25	10	2.92125
ENST00000354590	2350	2164.25	62	18.2038
ENST00000253024	2959	2773.25	1051	240.819
ENST00000341753	2713	2527.25	0	0
ENST00000312547	907	721.253	192	169.157
ENST00000253023	1523	1337.25	241	114.52
ENST00000215057	2920	2734.25	25	5.81004
ENST00000545217	1239	1053.25	0	0
ENST00000262259	3742	3556.25	7.6522	1.36732
ENST00000436511	488	303.102	0.347797	0.729148
ENST00000301439	1701	1515.25	0	0
ENST00000570106	1256	1070.25	0	0
ENST00000429354	2086	1900.25	0	0
ENST00000222107	2498	2312.25	0	0
ENST00000360844	2018	1832.25	0	0
ENST00000533866	596	410.454	0	0
ENST00000540069	2090	1904.25	0	0
ENST00000222115	2087	1901.25	0	0
ENST00000376738	1131	945.253	0	0
ENST00000376737	1948	1762.25	0	0
ENST00000391545	1668	1482.25	0	0
ENST00000567955	2455	2269.25	0	0
ENST00000564712	1310	1124.25	10.723	6.06082
ENST00000570254	459	274.564	0.875986	2.02736
ENST00000565357	566	380.573	0	0
ENST00000564036	717	531.324	6.90098	8.25333
ENST00000568800	771	585.324	0	0
ENST00000563120	402	218.92	0	0
ENST00000568071	537	351.609	0	0
ENST00000566305	7912	7726.25	10.912	0.897455
ENST00000570239	2780	2594.25	10.0107	2.45206
ENST00000564820	2306	2120.25	0.216708	0.064948
ENST00000570089	708	522.324	0.262309	0.319118
ENST00000569911	469	284.452	0.0982614	0.219509
ENST00000564936	255	89.8097	0	0
ENST00000565101	2972	2786.25	46.5316	10.6122
ENST00000564101	2827	2641.25	0	0
ENST00000563847	740	554.324	0	0
ENST00000562126	729	543.324	0	0
ENST00000567106	436	251.959	0	0
ENST00000569667	274	104.633	0	0
ENST00000566139	462	277.536	0	0
ENST00000563509	2196	2010.25	0	0
ENST00000572661	344	164.833	0	0
ENST00000570508	991	805.253	0	0
ENST00000575702	2322	2136.25	58.4603	17.3895
ENST00000569785	5464	5278.25	0	0
ENST00000562730	1720	1534.25	0	0
ENST00000570102	1727	1541.25	0	0
ENST00000566593	2410	2224.25	0	0
ENST00000566342	1001	815.253	0	0
ENST00000567412	897	711.253	0	0
ENST00000569633	624	438.413	0	0
ENST00000569676	1693	1507.25	0	0
ENST00000562160	582	396.495	0	0
ENST00000568253	556	370.573	0	0
ENST00000569591	5190	5004.25	0	0
ENST00000562438	9789	9603.25	81.8339	5.41493
ENST00000571655	1489	1303.25	1.18353	0.577068
ENST00000572013	537	351.609	0.860696	1.55549
ENST00000574270	536	350.609	1.97929	3.58726
ENST00000577080	415	231.419	0	0
ENST00000571496	448	263.753	0	0
ENST00000576115	263	96.1724	0	0
ENST00000567532	2533	2347.25	0	0
ENST00000565510	538	352.609	0	0
ENST00000573926	1177	991.253	0	0
ENST00000573291	2078	1892.25	0	0
ENST00000568429	2725	2539.25	0	0
ENST00000567893	2639	2453.25	0	0
ENST00000574291	2504	2318.25	0	0
ENST00000577068	604	418.413	0	0
ENST00000571560	356	175.668	0	0
ENST00000572685	446	261.753	0	0
ENST00000570938	636	450.324	0	0
ENST00000574038	514	328.913	0	0
ENST00000565144	1220	1034.25	0	0
ENST00000567889	426	242.182	0	0
ENST00000574996	1848	1662.25	4.02524	1.53877
ENST00000575327	5021	4835.25	11.4748	1.508
ENST00000577010	2155	1969.25	0	0
ENST00000572997	441	256.883	0	0
ENST00000574656	1096	910.253	0	0
ENST00000572823	1243	1057.25	0	0
ENST00000573524	1032	846.253	0	0
ENST00000573991	612	426.413	0	0
ENST00000570404	756	570.324	0	0
ENST00000576999	326	148.763	0	0
ENST00000574424	563	377.573	0	0
ENST00000576262	1555	1369.25	0	0
ENST00000573913	889	703.253	0	0
ENST00000574037	388	205.737	0	0
ENST00000576680	994	808.253	0	0
ENST00000572366	500	315.01	0.333333	0.672408
ENST00000573883	236	76.1383	0	0
ENST00000576644	832	646.324	0	0
ENST00000575317	546	360.609	0.666667	1.17476
ENST00000575512	774	588.324	0	0
ENST00000576292	563	377.573	0	0
ENST00000572448	507	321.946	0	0
ENST00000573721	554	368.573	0	0
ENST00000576428	281	110.212	0	0
ENST00000571255	533	347.644	0	0
ENST00000570524	454	269.619	0	0
ENST00000576937	534	348.644	0	0
ENST00000576734	384	201.923	0	0
ENST00000572338	2276	2090.25	0	0
ENST00000574670	2387	2201.25	0	0
ENST00000571897	559	373.573	0	0
ENST00000570340	740	554.324	0	0
ENST00000574935	1005	819.253	0	0
ENST00000576421	749	563.324	0	0
ENST00000571863	892	706.253	0	0
ENST00000573812	696	510.324	0	0
ENST00000573998	697	511.324	0	0
ENST00000570868	750	564.324	0	0
ENST00000575321	1020	834.253	3.24947	2.4751
ENST00000576759	862	676.324	0	0
ENST00000570491	625	439.413	0	0
ENST00000573492	487	302.102	0	0
ENST00000576159	1042	856.253	0	0
ENST00000574870	1637	1451.25	0	0
ENST00000575657	641	455.324	0	0
ENST00000572141	673	487.324	0	0
ENST00000576504	2535	2349.25	0	0
ENST00000571377	2294	2108.25	0	0
ENST00000571481	584	398.495	0.5	0.797306
ENST00000576231	1569	1383.25	0	0
ENST00000574986	1446	1260.25	0.000194135	9.78866e-05
ENST00000573340	553	367.573	0	0
ENST00000574102	1437	1251.25	0.202923	0.103054
ENST00000574750	1437	1251.25	0.202923	0.103054
ENST00000572402	794	608.324	0.401298	0.419189
ENST00000574057	596	410.454	0	0
ENST00000575703	475	290.279	0	0
ENST00000570435	1646	1460.25	1.79737	0.782145
ENST00000576882	573	387.535	0	0
ENST00000575008	1858	1672.25	0	0
ENST00000572837	1662	1476.25	0	0
ENST00000566299	5014	4828.25	0	0
ENST00000569555	3328	3142.25	0	0
ENST00000563020	580	394.495	0	0
ENST00000565597	565	379.573	0	0
ENST00000567433	545	359.609	0	0
ENST00000569202	568	382.573	0	0
ENST00000561917	558	372.573	0	0
ENST00000567746	808	622.324	0	0
ENST00000564157	790	604.324	0	0
ENST00000569917	645	459.324	0	0
ENST00000562010	780	594.324	0	0
ENST00000568173	614	428.413	0	0
ENST00000568159	975	789.253	0	0
ENST00000563738	554	368.573	0	0
ENST00000561842	211	59.4489	0	0
ENST00000575654	1000	814.253	0	0
ENST00000574749	2379	2193.25	9.29149	2.692
ENST00000570577	1962	1776.25	13.5313	4.84075
ENST00000572488	2609	2423.25	19.0841	5.00439
ENST00000575430	3082	2896.25	30.147	6.61433
ENST00000573675	1499	1313.25	0	0
ENST00000574503	1006	820.253	0	0
ENST00000576310	871	685.324	0.665506	0.61707
ENST00000573905	948	762.253	0	0
ENST00000571350	2103	1917.25	5.41176	1.79365
ENST00000570941	1381	1195.25	0	0
ENST00000573562	1002	816.253	0.5	0.389245
ENST00000572376	1021	835.253	0	0
ENST00000574263	930	744.253	0	0
ENST00000571879	1027	841.253	0	0
ENST00000576640	1687	1501.25	0	0
ENST00000572874	510	324.946	0	0
ENST00000573221	675	489.324	12.3118	15.9884
ENST00000576123	596	410.454	0	0
ENST00000572735	754	568.324	0	0
ENST00000572538	649	463.324	0	0
ENST00000570831	1446	1260.25	117.496	59.2436
ENST00000573013	1537	1351.25	19.2032	9.03054
ENST00000572736	1030	844.253	0	0
ENST00000574126	1011	825.253	0	0
ENST00000576213	715	529.324	0	0
ENST00000571844	819	633.324	1.36058	1.36513
ENST00000573279	845	659.324	0	0
ENST00000570960	752	566.324	0.940676	1.05549
ENST00000573192	1214	1028.25	0	0
ENST00000572378	645	459.324	0	0
ENST00000571993	2913	2727.25	0.505384	0.117753
ENST00000574012	494	309.041	0	0
ENST00000576368	1284	1098.25	0	0
ENST00000572269	1934	1748.25	0	0
ENST00000574445	2166	1980.25	29.1014	9.33838
ENST00000570717	1885	1699.25	27.2036	10.1729
ENST00000576584	2120	1934.25	4.25071	1.39645
ENST00000574877	2702	2516.25	15.2268	3.84531
ENST00000575900	701	515.324	3.91934	4.83294
ENST00000570684	585	399.495	3.94665	6.27762
ENST00000576612	4775	4589.25	0	0
ENST00000572076	2822	2636.25	0	0
ENST00000574862	576	390.535	0	0
ENST00000575670	3718	3532.25	12.3165	2.2157
ENST00000572822	3245	3059.25	3.18355	0.661262
ENST00000576844	957	771.253	0	0
ENST00000573962	532	346.644	0	0
ENST00000571194	2479	2293.25	0	0
ENST00000572740	2083	1897.25	0	0
ENST00000573938	580	394.495	0	0
ENST00000327822	1826	1640.25	0	0
ENST00000496357	1080	894.253	0	0
ENST00000400767	1117	931.253	0	0
ENST00000574223	2896	2710.25	0	0
ENST00000572604	1120	934.253	1	0.680163
ENST00000576815	1806	1620.25	0	0
ENST00000571716	2296	2110.25	0	0
ENST00000571239	2634	2448.25	4.12702	1.07117
ENST00000573540	503	318.01	0	0
ENST00000575724	7094	6908.25	0	0
ENST00000571363	2701	2515.25	0.364515	0.0920897
ENST00000574111	398	215.16	0.302152	0.892364
ENST00000573139	539	353.609	0	0
ENST00000573761	526	340.679	0	0
ENST00000574159	3995	3809.25	3.42943	0.572085
ENST00000571682	3879	3693.25	17.8502	3.07122
ENST00000575264	2920	2734.25	7.26457	1.6883
ENST00000570467	2277	2091.25	1.76222	0.535466
ENST00000573680	2564	2378.25	14.9698	3.99979
ENST00000574463	473	288.337	0	0
ENST00000570370	339	160.368	0	0
ENST00000575821	1410	1224.25	0	0
ENST00000575419	1692	1506.25	1.22377	0.516275
ENST00000570211	5197	5011.25	1.01099	0.128197
ENST00000577057	2432	2246.25	0	0
ENST00000574275	746	560.324	0	0
ENST00000572203	665	479.324	0	0
ENST00000573507	733	547.324	0	0
ENST00000575370	2246	2060.25	0	0
ENST00000570568	7129	6943.25	0	0
ENST00000570313	2613	2427.25	0	0
ENST00000574833	2048	1862.25	0	0
ENST00000572734	1554	1368.25	0	0
ENST00000574858	779	593.324	0	0
ENST00000576236	1287	1101.25	0	0
ENST00000575401	2453	2267.25	0	0
ENST00000571181	917	731.253	0	0
ENST00000572066	563	377.573	0	0
ENST00000574347	992	806.253	0	0
ENST00000575623	602	416.413	0	0
ENST00000573397	733	547.324	0	0
ENST00000571434	400	217.029	0	0
ENST00000570596	1607	1421.25	0	0
ENST00000571312	1732	1546.25	0	0
ENST00000569126	2448	2262.25	17.1623	4.82072
ENST00000562342	1424	1238.25	2.06932e-08	1.06193e-08
ENST00000566358	1574	1388.25	9.9119	4.53697
ENST00000565045	1676	1490.25	2.03263	0.866713
ENST00000563731	5098	4912.25	14.895	1.9268
ENST00000564952	1292	1106.25	0	0
ENST00000562825	1444	1258.25	0	0
ENST00000576522	1732	1546.25	0.0749835	0.0308151
ENST00000576372	1155	969.253	0	0
ENST00000576061	1009	823.253	0	0
ENST00000573131	878	692.324	0	0
ENST00000571812	964	778.253	0	0
ENST00000567425	2881	2695.25	0	0
ENST00000564372	3015	2829.25	0	0
ENST00000565289	3891	3705.25	0	0
ENST00000569371	867	681.324	0	0
ENST00000563014	2261	2075.25	0	0
ENST00000561944	589	403.495	0	0
ENST00000564483	547	361.609	0	0
ENST00000563696	679	493.324	0	0
ENST00000573281	1596	1410.25	0	0
ENST00000573121	611	425.413	0	0
ENST00000571439	678	492.324	0	0
ENST00000575971	449	264.753	0	0
ENST00000574588	1475	1289.25	0	0
ENST00000570192	1704	1518.25	69.5769	29.1205
ENST00000573298	517	331.847	0	0
ENST00000575923	1962	1776.25	0	0
ENST00000573679	5164	4978.25	0	0
ENST00000574399	926	740.253	0	0
ENST00000576833	2291	2105.25	0	0
ENST00000573477	4626	4440.25	0	0
ENST00000570609	1017	831.253	0	0
ENST00000571847	1338	1152.25	2.40528	1.32646
ENST00000574441	2336	2150.25	0	0
ENST00000573971	462	277.536	0	0
ENST00000572593	264	96.9752	0	0
ENST00000574718	408	224.786	0	0
ENST00000570905	612	426.413	0	0
ENST00000575803	648	462.324	0	0
ENST00000569367	7980	7794.25	0	0
ENST00000561850	1254	1068.25	0	0
ENST00000566399	550	364.609	0	0
ENST00000565218	12677	12491.3	9.81753	0.499429
ENST00000562259	12590	12404.3	51.1018	2.61784
ENST00000562468	12489	12303.3	23.1459	1.19545
ENST00000561982	11654	11468.3	60.9347	3.37633
ENST00000569447	805	619.324	0	0
ENST00000566881	7857	7671.25	118.206	9.79151
ENST00000562647	2059	1873.25	0	0
ENST00000564478	1420	1234.25	2.79153	1.4372
ENST00000567199	466	281.48	5.0029	11.2941
ENST00000563337	2310	2124.25	5.86903	1.75565
ENST00000569546	1918	1732.25	5.03781	1.84803
ENST00000570240	1724	1538.25	0	0
ENST00000568935	632	446.368	0	0
ENST00000563015	756	570.324	1.95872	2.18237
ENST00000562689	661	475.324	1.41047	1.88562
ENST00000552105	6249	6063.25	1.86945	0.195923
ENST00000550485	6195	6009.25	0	0
ENST00000562697	5929	5743.25	0	0
ENST00000565569	969	783.253	0	0
ENST00000564689	769	583.324	0	0
ENST00000562972	408	224.786	0.609186	1.7221
ENST00000568601	659	473.324	0	0
ENST00000562085	3351	3165.25	31.296	6.28286
ENST00000568747	543	357.609	2.49	4.42454
ENST00000548763	318	141.734	1.17761	5.27969
ENST00000546691	381	198.963	0	0
ENST00000548039	372	190.518	2.04237	6.812
ENST00000552733	2136	1950.25	0	0
